rating,display_name,brand_name,list_price
4.7168,Pro Beauty Blender,beautyblender,$19.95 - $28.95
4.4167,Royal beautyblender®,beautyblender,$19.95
5,beautyblender® Best Friends,beautyblender,$39.95
4.5249,4-Pack Sponge,Laura Mercier,$15.00
3.6842,air port pure kit by beautyblender®,beautyblender,$49.95
4.9032,Pure beautyblender®,beautyblender,$19.95
1,The Perfector: Airbrush Sponge,SEPHORA COLLECTION,$12.00
0,The Painter: Airbrush Sponge,SEPHORA COLLECTION,$12.00
3.5517,Compact Foundation Sponges,SEPHORA COLLECTION,$5.70 - $6.00
3.8872,Hydra Life BB Creme Broad Spectrum SPF 30,Dior,$56.00
3.9612,Skin Perfect CC Cream SPF 20,SEPHORA COLLECTION,$26.00
4,BB Bounce Beauty Balm,Dr. Jart+,$48.00
4.4,BB Dis-A-Pore Beauty Balm,Dr. Jart+,$36.00
4.4,DayWear BB Anti-Oxidant Beauty Benefit Creme SPF 35,Estee Lauder,$39.00
4.0996,Stay All Day® 10-In-One HD Illuminating Beauty Balm With Broad Spectrum SPF 30,Stila,$38.00
4.0857,Top Secrets All-In-One BB Cream Skintone Corrector,Yves Saint Laurent,$50.00
3.913,Age Defense BB Cream Broad Spectrum SPF 30,CLINIQUE,$37.00
4.1333,CC Color Correcting Cream Broad Spectrum SPF 20,Stila,$44.00
4.1819,Tinted Beauty Balm SPF 20,Too Faced,$34.00
4.04,The Original BB Cream Set,Dr. Jart+,$34.00
4.2955,Natural Finish Cream Concealer,Shiseido,$25.00
3.7254,Photo Op Under Eye Brightener,Smashbox,$20.00
3.6396,Acne Solutions Clearing Concealer,CLINIQUE,$17.00
4.2289,Continuous Coverage,CLINIQUE,$24.00
3.7985,8 HR Wear Perfect Cover Concealer,SEPHORA COLLECTION,$15.00
4,Double Wear Stay-In-Place Flawless Wear Concealer,Estee Lauder,$23.00
3.05,10HR Fix & Correct Concealer,SEPHORA COLLECTION,$17.00
4.1646,Perfecting Concealer,Stila,$23.00
3.3614,Tattoo Eraser,Kat Von D,$14.00
4.2794,AMERICANA Custom Coverage Concentrate,ARDENCY INN,$38.00
3.9714,Skin Perfection Conceal,Perfekt,$28.00
4.1905,Dual Coverage Compact Concealer,BECCA,$28.00
4.2,Concealer,ELLIS FAAS,$40.00
3.75,Moisture Concealer,Koh Gen Do,$54.00
4.4,The Concealer Perfect Finish Concealer,Dolce & Gabbana,$38.00
2.4615,Radiant Skin Creamy Concealer,BECCA,$32.00
4.129,Extra SPF 25 Tinted Moisturizing Balm,Bobbi Brown,$54.00
4.028,Moisture Surge Tinted Moisturizer SPF 15,CLINIQUE,$27.00
3.6667,Stay All Day® 10-in-1 HD Beauty Balm Trio Broad-Spectrum SPF 30,Stila,$24.00
3.7214,Argan Tinted Moisturizer,Josie Maran,$38.00
3.689,Tinted Moisturizer Crème Compact Broad Spectrum SPF 20 Sunscreen,Laura Mercier,$45.00
4.6705,CRÈME DE BLUSH - Soft Blush,Yves Saint Laurent,$38.00
4.1458,Shameless Bold Blush,Marc Jacobs Beauty,$30.00
3.9412,Cheek Stain Collector's Vault,Tarte,$150.00
4.569,MicroSmooth Baked Blush Duo,SEPHORA COLLECTION,$17.00
4.7778,Airblush Maracuja Blush,Tarte,$26.00
4.488,Rockateur,Benefit Cosmetics,$28.00
4.1712,Beach Tint,BECCA,$25.00
3.5285,Lip & Cheek Stain,Stila,$24.00
4.5722,Powder Blush,MAKE UP FOR EVER,$21.00
4.6975,BLUSH SUBTIL - Delicate Oil-Free Powder Blush,Lancôme,$30.00
4.35,Argan Color Stick,Josie Maran,$22.00
4.5136,Blushing Blush Powder Blush,CLINIQUE,$21.00
4.5556,Diorskin Nude Tan Healthy Glow Enhancing Powder,Dior,$55.00
4.464,Snow Bunny Luminous Bronzer,Too Faced,$30.00
4.5544,Sun Bunny Natural Bronzer,Too Faced,$30.00
4.3043,MicroSmooth Baked Bronzer Duo,SEPHORA COLLECTION,$19.00
4.3707,bareMinerals READY™ Bronzer,bareMinerals,$24.00
4.6179,MicroSmooth Baked Sculpting Contour Trio,SEPHORA COLLECTION,$21.00
3.6923,The Sculptor Contouring Face Slenderizer,Tarte,$24.00
4.396,Sun Beam,Benefit Cosmetics,$26.00
4.575,Illuminating Bronzing Powder,Bobbi Brown,$38.00
3.9268,Foundation Primer - Radiance Bronze,Laura Mercier,$33.00
4.7143,Everlasting Bronzer,Kat Von D,$25.00
4.6054,True Bronze Pressed Powder Bronzer,CLINIQUE,$26.00
4.4576,Hot Escapes Bronzer,Buxom,$28.00
4.6602,Mat Bronze,MAKE UP FOR EVER,$32.00
4.5417,Bronzing Skin Perfector,BECCA,$36.00
4.2683,Amazonian Clay and Annatto Body Bronzer,Tarte,$37.00
