rating,display_name,brand_name,list_price
4.3771,TOUCHE ÉCLAT - Radiant Touch,Yves Saint Laurent,$41.00
4.3102,Ambient Lighting Powder,Hourglass,$45.00
4.3684,The Multiple,NARS,$39.00
4.4695,Naked Flushed,Urban Decay,$30.00
4.4885,Dandelion,Benefit Cosmetics,$28.00
4.4071,Watt's Up!,Benefit Cosmetics,$30.00
4.6162,Shimmering Skin Perfector SPF 25+,BECCA,$41.00
4.4764,High Beam,Benefit Cosmetics,$26.00
4.2963,Illuminator,NARS,$30.00
4.4713,Shimmering Skin Perfector™ Pressed,BECCA,$38.00
4.5267,Shimmer Brick - Bronze,Bobbi Brown,$42.00
4.3043,STAR BRONZER - Magic Bronzing Brush - Automatic Powder Brush for Face and Body,Lancôme,$35.00
3.5263,Bronze & Glow™ Matte Bronzer & Cheek Tint,Tarte,$32.00
4.7292,O!Mega Bronze - Perfect Tan,Marc Jacobs Beauty,$49.00
0,The Mascara & Bronzing Holy Grail Set,Too Faced,$23.00
4.4974,Beach Bunny Custom-Blend Bronzer,Too Faced,$30.00
4.2677,Illume Creme-To-Powder Bronzer Duo,Hourglass,$40.00
4.25,Mineral Bronzing Powder,BECCA,$40.00
4.1562,Custom Color Bronze,Stila,$20.00
0,Bronzed And Blushing Face Palette,SEPHORA COLLECTION,$15.00
0,“Sol de Rio” Bronzing Powder,SEPHORA COLLECTION,$22.00
0,Diorskin Nude Tan Matte Sun Powder,Dior,$52.00
5,Bronze Goddess Powder Bronzer,Estee Lauder,$36.00
4.8889,Contour Kit,Anastasia Beverly Hills,$40.00
4.2059,Terracotta Mineral Flawless Bronzing Powder,Guerlain,$66.00
4.0909,Ultra Luminous Bronzer,EDWARD BESS,$45.00
0,BB Dis-A-Pore Beauty Balm,Dr. Jart+,$36.00
3.9815,Stay All Day® 10-In-One HD Bronzing Beauty Balm With Broad Spectrum SPF 30,Stila,$38.00
3.9474,Chinese Licorice Anti-Aging Color Correction CC Cream,Wei,$45.00
3.625,CC Care + Color,SEPHORA COLLECTION,$24.00
3.5078,Water Fuse Smart Gel BB,Dr. Jart+,$36.00
0,BB Radiance Beauty Balm,Dr. Jart+,$42.00
4,Ultra Dewy Complexion Perfector,EDWARD BESS,$56.00
0,Moisture Surge CC Compact,CLINIQUE,$35.00
0,Bronze Perfect CC Cream,SEPHORA COLLECTION,$26.00
3.9412,RÉNERGIE ÉCLAT MULTI-LIFT Multi-Action Tinted Skincare Illuminate + Lift Instant Enhancer,Lancôme,$75.00
3.8226,Renewalist BB Beauty Balm,Dr. Jart+,$36.00
0,BB Bounce Beauty Balm,Dr. Jart+,$48.00
4.3318,N° 28 Primer Serum,Hourglass,$22.00 - $65.00
4.0476,'That Gal' Brightening Face Primer,Benefit Cosmetics,$29.00
4.125,Photo Finish Foundation Primer SPF 20 With Dermaxyl™ Complex,Smashbox,$10.00 - $42.00
